word,frequency
majority,235634
personal,235583
peter,235548
date,235343
religious,235332
review,235299
highest,235048
programs,234986
richard,234983
issues,234101
mostly,234001
secretary,233884
location,233876
particularly,233593
policy,233503
appearance,233456
going,233384
selected,233380
room,233348
youth,233039
give,232823
mark,232708
j,232481
thought,232371
fact,232324
wide,231967
chicago,231886
ireland,231290
historical,230934
airport,230880
entire,230283
legal,230208
lines,230202
feature,230115
caused,230036
stations,229335
cultural,229310
nd,229084
got,229043
forced,228887
retired,228464
notable,227887
angeles,227887
terms,227799
islands,227733
loss,226902
create,226430
complex,226232
remains,226025
nine,226006
genus,225870
operated,225461
stone,225046
test,224954
greek,224490
here,224420
hours,224291
clubs,223602
basketball,223542
passed,223343
variety,223255
mission,222616
supported,222156
meeting,222033
activities,221987
changes,221905
serving,221342
administration,221109
matches,220832
sir,220548
certain,220408
particular,220243
author,220035
recording,219941
cross,219595
zealand,219432
goals,219038
word,219038
starting,219011
evidence,218944
referred,218845
writer,218317
empire,218284
nations,218174
shown,217419
takes,217174
weeks,216949
need,216829
democratic,216807
friends,216589
engine,216580
leaving,216457
seasons,216383
larger,216083
competed,216070
score,216061
earned,215975
issue,215638
hand,215611
movie,215580
stadium,215577
claimed,215500
overall,215395
turn,215369
bands,214822
port,214723
relationship,214712
raised,214619
cover,214490
lord,214380
helped,214228
italy,213985
always,213303
believed,213133
mexico,212885
ships,212640
composed,212626
recent,212469
individuals,212401
congress,212082
material,212008
upper,211719
presented,211592
nature,211491
forest,211001
virginia,210459
parish,210271
shot,210249
increase,210211
fight,210201
houses,210123
fort,210019
names,209876
failed,209594
fellow,209584
irish,209576
fall,209510
longer,209414
decision,209393
mary,209377
mainly,209198
offered,209105
key,208843
parents,208693
castle,208252
deal,208206
troops,208137
smith,208117
consists,207769
provides,207313
theory,207210
length,207112
ancient,206829
stars,206792
themselves,206624
tracks,206545
results,206511
sister,206282
rd,206033
separate,205724
uses,205713
nearly,205683
minutes,205646
forms,204888
carried,204871
chairman,204351
month,204102
justice,203603
pennsylvania,203464
olympics,203110
singer,202875
status,202837
cases,202610
junior,202475
remaining,202431
source,202232
husband,201889
chart,201295
assistant,201213
turned,201047
appears,201018
prime,200598
experience,200565
therefore,200512
friend,200299
train,200222
pacific,199832
male,199811
subject,199705
temple,199526
broadcast,199424
fifth,199166
acquired,199117
care,199057
brothers,198994
florida,198561
van,198498
wales,198394
rate,198335
prince,198120
bishop,197873
done,197807
graduated,197570
singles,197176
heavy,196734
cast,196643
dance,196122
am,196089
engineering,196034
marriage,195619
attempt,195351
proposed,195048
jewish,194910
effect,194887
camp,194856
r,194772
heart,194732
surface,194599
enough,194411
greater,194310
meaning,194304
cities,194070
oil,194064
saint,194009
multiple,193940
responsible,193776
plans,193743
administrative,193551
promoted,193321
silver,193243
might,192918
nearby,192709
p,192648
cost,192612
winter,192328
miles,191714
view,191214
mens,191052
influence,191032
minor,190859
branch,190476
g,189826
constructed,189629
township,189407
god,189357
managed,189302
problems,189299
asked,189250
whether,189209
makes,189018
serve,188715
told,188616
producer,188310
specific,188257
primarily,188250
lives,188132
products,188039
leave,187980
actor,187849
workers,187777
arrived,187693
lies,187395
face,187024
mr,186851
females,186788
champion,186771
wanted,186379
border,186312
x,186282
queen,186188
yet,186180
baseball,186131
spring,186097
discovered,185650
response,185570
allow,185392
direct,185389
f,185278
corps,185272
daily,185094
creek,184971
cause,184544
joseph,184479
covered,184266
officers,184257
extended,184193
digital,184169
louis,183879
call,183859
article,183827
era,183812
stories,183532
elections,182716
territory,182615
inside,182386
regiment,182189
whole,182014
master,181990
hotel,181689
directly,181616
issued,181603
spain,181354
latter,181075
median,180725
hockey,180345
authority,180199
dutch,180108
h,179800
transferred,179765
saying,179687
residents,179679
russia,179648
idea,179632
vote,179572
ice,179567
elements,179424
prize,179191
households,179162
computer,178662
highly,178564
likely,178359
tower,178247
commander,177862
soldiers,177725
conditions,177457
officially,177232
journal,177184
mayor,177074
latin,176956
ministry,176747
newspaper,176548
speed,176313
projects,176212
levels,176210
contemporary,175987
drama,175772
housing,175771
physical,175708
formerly,175594
prominent,175588
pass,175409
renamed,175303
marine,174862
recently,174623
estate,174368
participated,174362
appear,174252
academic,173990
online,173965
global,173922
grew,173560
edward,173481
words,173366
immediately,173356
dark,173295
republican,173086
rule,172934
moving,172866
produce,172855
appearances,172853
defense,172650
girls,172548
quickly,172501
lack,172423
poland,172251
typically,171506
commonly,171367
flight,171217
divided,171190
smaller,171059
races,170947
comes,170740
continue,170695
hot,170582
percent,170537
wall,170410
revealed,170341
earth,170284
scene,170181
alongside,170112
growth,169593
martin,169414
w,169373
your,169289
numbers,169123
campus,169045
intended,168960
probably,168842
dead,168546
candidate,168393
t,168306
secondary,168110
naval,168098
britain,168049
agreement,167951
voice,167864
carolina,167626
label,167404
urban,167328
host,167093
emperor,167066
initial,167058
poor,166990
rugby,166932
peace,166813
settlement,166714
conducted,166558
ordered,166339
dedicated,166318
industrial,165715
paper,165680
iii,165440
shortly,165215
featuring,165164
k,164989
quality,164692
editor,164686
focus,164496
peoples,164492
beach,164419
value,164314
senate,163969
keep,163867
wing,163708
fc,163632
planned,163448
purchased,163230
corporation,163148
meet,162935
cut,162574
reserve,162417
true,162409
boston,162189
transport,162076
metal,161798
positive,161641
giving,161441
avenue,161264
reach,161262
combined,160980
judge,160717
northwest,160691
offers,160626
southeast,160594
effects,160501
removed,160359
operating,160353
literature,160188
basis,159941
advanced,159858
scotland,159705
join,159331
widely,159213
code,159153
politician,159115
treatment,159107
job,159085
efforts,158973
scottish,158907
organized,158901
crew,158808
ability,158791
assigned,158726
largely,158628
francisco,158545
asian,158436
stop,158399
super,158286
acting,158180
serves,158177
build,158140
capacity,158104
farm,158055
males,158049
scientific,157991
leadership,157980
opera,157869
defeat,157595
formation,157578
leaders,157516
letter,157450
gained,157436
lee,157331
memorial,157272
leaves,157131
register,157114
potential,156946
mass,156804
al,156604
kings,156573
girl,156500
destroyed,156406
compared,156128
affairs,156112
adopted,156073
attention,156058
except,156042
coming,155816
sons,155507
bbc,155331
prison,155108
l,154933
rules,154897
cars,154727
winner,154720
facilities,154601
solo,154572
entertainment,154552
headquarters,154535
amount,154474
infantry,154346
needed,154127
jersey,154023
organizations,154017
actually,154014
clear,154004
activity,153838
comedy,153796
direction,153656
types,153542
captured,153511
store,153488
squadron,153429
hold,153421
racing,153381
charge,153376
columbia,153353
el,153276
agreed,153249
grade,153139
boys,153045
estimated,153023
double,152924
districts,152828
fleet,152722
supreme,152370
declared,151974
software,151952
morning,151900
accepted,151872
exchange,151770
ohio,151331
concept,151321
drive,151228
website,151061
suffered,150790
forward,150719
titled,150697
polish,150384
£,150282
function,150268
episodes,150004
approach,149959
jack,149858
protection,149770
critical,149762
fell,149689
jones,149688
firm,149658
floor,149642
distance,149487
gas,149229
towns,149201
blood,149065
northeast,148911
travel,148875
know,148777
product,148732
hard,148715
guitar,148671
williams,148660
method,148641
recognized,148456
equipment,148413
communities,148279
applied,148257
roles,148078
resulted,147974
situated,147956
agency,147941
sources,147720
difficult,147601
pay,147498
golden,147485
hosted,147372
mount,147258
reviews,147130
trial,147103
things,147048
deputy,146949
fighting,146918
critics,146833
iron,146809
continues,146793
technical,146778
languages,146764
remain,146719
occurred,146471
michigan,146443
expanded,146402
jr,146361
joint,146354
tax,146337
figure,146233
mixed,146067
mentioned,145576
principal,145406
presence,145312
density,145310
sydney,145288
alone,145219
taught,145157
railroad,145114
growing,145104
environment,144812
account,144787
premier,144702
tells,144665
felt,144661
knowledge,144559
providing,144444
pressure,144251
plants,144078
feet,143518
nominated,143454
duke,143346
mm,143267
becomes,143239
spread,143238
olympic,143020
younger,142876
sun,142824
sales,142783
teaching,142470
southwest,142425
yards,142131
wood,142127
expected,142102
rose,142043
fish,142031
format,141996
concert,141918
mountains,141844
asia,141667
surrounding,141577
block,141559
goes,141441
champions,141365
safety,141275
alexander,141219
kept,141194
ranked,141023
tree,141016
buried,141003
sites,140853
says,140814
teacher,140783
traffic,140765
identified,140696
footballer,140639
actress,140433
regions,140392
paid,140353
unique,140333
analysis,140201
twice,140158
fine,140088
problem,140021
creation,139963
share,139882
models,139869
offer,139862
granted,139857
platform,139829
georgia,139809
resulting,139802
losing,139739
simply,139509
boy,139388
titles,139388
relations,139366
reports,139263
something,139051
parties,138871
liberal,138799
reduced,138551
bus,138454
positions,138419
showed,138211
guard,138087
household,138048
cricket,137981
ball,137943
scoring,137876
mile,137847
newly,137826
frank,137754
damage,137728
tried,137667
arms,137649
bar,137619
receive,137594
deep,137467
suggested,137403
claims,137263
split,137192
windows,137190
resources,137116
independence,137076
johnson,136705
israel,136581
electric,136575
tom,136537
returning,136467
develop,136397
painting,136314
iran,136181
opposition,136001
basic,135859
representative,135808
impact,135788
performing,135780
doctor,135672
representatives,135603
gives,135293
illinois,135213
lady,134962
begins,134920
pop,134804
owner,134712
birth,134706
officials,134647
allows,134642
facility,134596
honor,134572
text,134551
color,134544
heritage,134542
inspired,134514
n,134486
sixth,134438
trains,134294
cannot,134285
succeeded,134273
obtained,134245
designated,134100
von,133950
performances,133880
architecture,133844
garden,133830
u,133632
learning,133500
founder,133497
municipal,133476
jazz,133314
cell,133266
gun,133097
yard,133024
distribution,132921
content,132848
beyond,132805
theme,132803
completely,132786
laws,132487
victoria,132471
theater,132430
villages,132365
fully,132314
interview,132254
rail,132217
image,132091
draft,132088
effort,131921
finish,131916
machine,131862
zone,131621
labour,131583
couple,131516
confirmed,131508
grant,131401
chosen,131362
santa,131280
bring,131276
connected,131091
massachusetts,131071
hong,130982
achieved,130970
existing,130602
sciences,130498
subsequent,130459
environmental,130455
allowing,130441
nation,130420
versions,130374
swedish,130337
revolution,130206
votes,130167
imperial,130117
scott,130097
berlin,130096
freedom,129983
box,129979
classes,129870
relatively,129715
politics,129700
fields,129685
medicine,129579
lieutenant,129549
attacks,129481
usa,129373
armed,129369
planning,129298
marked,129216
look,128964
entitled,128927
le,128842
materials,128632
disease,128388
conservative,128311
brigade,128295
bought,128215
horse,128130
authorities,128103
oldest,128056
unable,127972
visit,127866
constitution,127859
letters,127794
starring,127676
dc,127641
figures,127630
tradition,127511
fans,127476
animals,127432
frequently,127377
settled,127342
aired,127291
combat,127221
elizabeth,127218
cells,127096
seats,127050
vice,126993
break,126969
palace,126968
acts,126882
portion,126803
bronze,126660
reason,126612
price,126597
holds,126580
alternative,126522
falls,126380
creating,126337
sides,126158
atlantic,126133
say,126115
reading,125816
table,125739
refused,125601
citizens,125548
crime,125532
murder,125344
situation,125140
volume,125058
purpose,125021
classical,124981
cd,124955
literary,124815
educational,124739
joe,124586
ultimately,124523
del,124515
read,124381
labor,124366
defined,124361
kong,124292
supply,124219
rome,124093
permanent,124057
cancer,124050
claim,124005
philadelphia,123957
respectively,123924
bc,123858
sexual,123726
secret,123634
toronto,123599
legislative,123559
steel,123451
funding,123423
cemetery,123332
documentary,123285
reference,123268
internet,123177
simple,123079
broke,122923
agent,122910
classic,122890
battalion,122812
arrested,122685
draw,122634
transfer,122576
challenge,122522
want,122513
climate,122448
attempts,122383
search,122382
guest,122119
faculty,122010
promotion,121998
convention,121978
follows,121936
extensive,121876
fought,121875
perform,121712
ones,121631
supporting,121558
gallery,121427
generation,121425
piece,121408
necessary,121251
ontario,121129
founding,121109
covers,121101
audience,120974
injury,120937
eg,120907
partner,120900
kind,120704
economy,120595
nuclear,120457
articles,120433
billboard,120415
prevent,120308
commissioned,120275
effective,120239
visited,120111
masters,120044
origin,119946
powerful,119941
sense,119898
attacked,119894
flying,119823
attempted,119800
rank,119617
normal,119573
orchestra,119544
publication,119543
peak,119363
sport,119278
inc,119231
programme,119207
consisted,119054
korean,118833
writers,118635
ocean,118633
holy,118585
billion,118579
receiving,118578
mike,118514
graduate,118502
exhibition,118455
communist,118318
trees,118196
memory,118108
approved,118083
opposed,118080
entry,118047
fame,118032
crown,117977
trust,117850
risk,117820
squad,117743
lot,117719
copies,117686
hands,117636
agricultural,117626
powers,117612
drug,117539
pakistan,117520
worlds,117247
intelligence,117239
presidential,117209
institutions,117119
studios,117098
unknown,116964
yellow,116947
holding,116944
dropped,116938
vehicles,116925
maximum,116912
sign,116814
occupied,116814
choice,116812
hills,116558
netherlands,116516
ie,116303
korea,116116
shared,116094
interior,116093
alliance,116088
ring,116074
notes,115997
conflict,115910
brand,115756
oxford,115653
stock,115600
methods,115436
internal,115183
increasing,115116
offices,115081
edge,115069
sets,114751
rise,114713
employed,114567
needs,114537
storm,114458
greatest,114434
brazil,114421
provincial,114316
chris,114284
meant,114194
someone,114142
fund,114128
onto,114092
actions,114061
converted,114061
ending,114050
expansion,114009
guns,113970
application,113917
federation,113876
worldwide,113811
soccer,113776
defence,113743
domestic,113715
specifically,113648
stay,113622
sex,113608
incorporated,113590
surname,113568
contributed,113538
fox,113441
bad,113230
philosophy,113113
miss,113108
page,113011
poetry,112962
factory,112956
begin,112885
developing,112748
representing,112571
focused,112541
adult,112533
represent,112288
beat,112234
ways,112158
refers,111987
matter,111984
finds,111817
containing,111791
walls,111753
slightly,111674
resigned,111537
enemy,111481
weekly,111372
launch,111325
phase,111237
ends,111202
pieces,110993
criminal,110936
retirement,110915
treaty,110830
category,110825
determined,110737
standards,110610
setting,110577
lyrics,110556
bureau,110319
jackson,110277
doing,110234
funds,109999
architect,109995
influenced,109959
invited,109890
derived,109831
metropolitan,109780
broadcasting,109760
tropical,109717
contact,109701
kill,109700
animal,109547
vehicle,109415
successfully,109367
properties,109302
think,109197
minute,109181
faced,109120
aid,109091
believe,109087
occurs,108923
metres,108663
pair,108523
establishment,108509
religion,108432
steve,108397
